"","week","date","WNU_GBPINR","WNU","start_date","end_date","yearmon","avg_rate","end_of_month","d_avg_rate","d_WNU_GBPINR","d_WNU","lag1_d_WNU_GBPINR","lag2_d_WNU_GBPINR","lag1_d_WNU","lag2_d_WNU"
"24","2014-13","2014-03-24",74,2595,2014-03-24,2014-03-30,Mar 2014,99.9010285714286,0,-0.0146446282622036,0.213114754098361,0.186556927297668,0.173076923076923,-0.380952380952381,-0.0254010695187166,-0.0603015075376885
"25","2014-14","2014-03-31",100,2867,2014-03-31,2014-04-06,Mar 2014,99.6495571428571,1,-0.00251720560005664,0.351351351351351,0.104816955684008,0.213114754098361,0.173076923076923,0.186556927297668,-0.0254010695187166
"26","2014-15","2014-04-07",135,2620,2014-04-07,2014-04-13,Apr 2014,100.544342857143,0,0.00897932454434236,0.35,-0.0861527729333799,0.351351351351351,0.213114754098361,0.104816955684008,0.186556927297668
"27","2014-16","2014-04-14",96,2276,2014-04-14,2014-04-20,Apr 2014,101.212142857143,0,0.00664184558795955,-0.288888888888889,-0.131297709923664,0.35,0.351351351351351,-0.0861527729333799,0.104816955684008
"28","2014-17","2014-04-21",133,2848,2014-04-21,2014-04-27,Apr 2014,102.074,0,0.00851535318320074,0.385416666666667,0.251318101933216,-0.288888888888889,0.35,-0.131297709923664,-0.0861527729333799
"29","2014-18","2014-04-28",151,3147,2014-04-28,2014-05-04,Apr 2014,101.648214285714,1,-0.00417134347910053,0.135338345864662,0.10498595505618,0.385416666666667,-0.288888888888889,0.251318101933216,-0.131297709923664
"30","2014-19","2014-05-05",143,3115,2014-05-05,2014-05-11,May 2014,101.322214285714,0,-0.00320713946910745,-0.0529801324503312,-0.0101684143628853,0.135338345864662,0.385416666666667,0.10498595505618,0.251318101933216
"31","2014-20","2014-05-12",111,3043,2014-05-12,2014-05-18,May 2014,99.7203142857143,0,-0.0158099584705371,-0.223776223776224,-0.0231139646869984,-0.0529801324503312,0.135338345864662,-0.0101684143628853,0.10498595505618
"32","2014-21","2014-05-19",92,2970,2014-05-19,2014-05-25,May 2014,98.4119857142857,0,-0.0131199804252521,-0.171171171171171,-0.0239894840617811,-0.223776223776224,-0.0529801324503312,-0.0231139646869984,-0.0101684143628853
"33","2014-22","2014-05-26",141,3613,2014-05-26,2014-06-01,May 2014,98.6364857142857,1,0.00228122619791216,0.532608695652174,0.216498316498317,-0.171171171171171,-0.223776223776224,-0.0239894840617811,-0.0231139646869984
"34","2014-23","2014-06-02",172,3736,2014-06-02,2014-06-08,Jun 2014,99.1046285714286,0,0.00474614290799957,0.219858156028369,0.0340437309714918,0.532608695652174,-0.171171171171171,0.216498316498317,-0.0239894840617811
"35","2014-24","2014-06-09",201,3997,2014-06-09,2014-06-15,Jun 2014,99.7821142857143,0,0.00683606531855796,0.168604651162791,0.0698608137044967,0.219858156028369,0.532608695652174,0.0340437309714918,0.216498316498317
"36","2014-25","2014-06-16",233,3815,2014-06-16,2014-06-22,Jun 2014,102.047071428571,0,0.022699029370852,0.159203980099502,-0.0455341506129597,0.168604651162791,0.219858156028369,0.0698608137044967,0.0340437309714918
"37","2014-26","2014-06-23",160,4424,2014-06-23,2014-06-29,Jun 2014,102.281214285714,0,0.0022944593496419,-0.313304721030043,0.159633027522936,0.159203980099502,0.168604651162791,-0.0455341506129597,0.0698608137044967
"38","2014-27","2014-06-30",275,5011,2014-06-30,2014-07-06,Jun 2014,102.413,1,0.00128846450646924,0.71875,0.132685352622061,-0.313304721030043,0.159203980099502,0.159633027522936,-0.0455341506129597
"39","2014-28","2014-07-07",159,4132,2014-07-07,2014-07-13,Jul 2014,102.508857142857,0,0.000935986084355855,-0.421818181818182,-0.175414089004191,0.71875,-0.313304721030043,0.132685352622061,0.159633027522936
"40","2014-29","2014-07-14",142,3969,2014-07-14,2014-07-20,Jul 2014,102.8375,0,0.0032059947433114,-0.106918238993711,-0.0394482090997096,-0.421818181818182,0.71875,-0.175414089004191,0.132685352622061
"41","2014-30","2014-07-21",126,4200,2014-07-21,2014-07-27,Jul 2014,102.265142857143,0,-0.00556564621715949,-0.112676056338028,0.0582010582010581,-0.106918238993711,-0.421818181818182,-0.0394482090997096,-0.175414089004191
"42","2014-31","2014-07-28",227,4844,2014-07-28,2014-08-03,Jul 2014,102.077785714286,1,-0.00183207237209726,0.801587301587302,0.153333333333333,-0.112676056338028,-0.106918238993711,0.0582010582010581,-0.0394482090997096
"43","2014-32","2014-08-04",248,4487,2014-08-04,2014-08-10,Aug 2014,102.916,0,0.00821152496450539,0.0925110132158591,-0.0736994219653179,0.801587301587302,-0.112676056338028,0.153333333333333,0.0582010582010581
"44","2014-33","2014-08-11",106,3875,2014-08-11,2014-08-17,Aug 2014,102.168214285714,0,-0.00726598113301835,-0.57258064516129,-0.136394027189659,0.0925110132158591,0.801587301587302,-0.0736994219653179,0.153333333333333
"45","2014-34","2014-08-18",92,3891,2014-08-18,2014-08-24,Aug 2014,100.949014285714,0,-0.0119332613232379,-0.132075471698113,0.00412903225806449,-0.57258064516129,0.0925110132158591,-0.136394027189659,-0.0736994219653179
"46","2014-35","2014-08-25",183,4837,2014-08-25,2014-08-31,Aug 2014,100.259057142857,1,-0.00683470906317485,0.989130434782609,0.243125160627088,-0.132075471698113,-0.57258064516129,0.00412903225806449,-0.136394027189659
"47","2014-36","2014-09-01",198,4930,2014-09-01,2014-09-07,Sep 2014,99.5664428571429,0,-0.0069082465510063,0.0819672131147542,0.0192267934670249,0.989130434782609,-0.132075471698113,0.243125160627088,0.00412903225806449
"48","2014-37","2014-09-08",176,4529,2014-09-08,2014-09-14,Sep 2014,98.3217428571429,0,-0.0125011998448704,-0.111111111111111,-0.0813387423935091,0.0819672131147542,0.989130434782609,0.0192267934670249,0.243125160627088
"49","2014-38","2014-09-15",175,4763,2014-09-15,2014-09-21,Sep 2014,99.2943714285714,0,0.00989230401297658,-0.00568181818181823,0.0516670346654891,-0.111111111111111,0.0819672131147542,-0.0813387423935091,0.0192267934670249
"50","2014-39","2014-09-22",211,5421,2014-09-22,2014-09-28,Sep 2014,99.6270142857143,0,0.00335006760561596,0.205714285714286,0.138148225908041,-0.00568181818181823,-0.111111111111111,0.0516670346654891,-0.0813387423935091
"51","2014-40","2014-09-29",285,5926,2014-09-29,2014-10-05,Sep 2014,99.5635571428571,1,-0.00063694715045004,0.350710900473934,0.0931562442353808,0.205714285714286,-0.00568181818181823,0.138148225908041,0.0516670346654891
"52","2014-41","2014-10-06",182,4936,2014-10-06,2014-10-12,Oct 2014,98.5538428571429,0,-0.0101414042917884,-0.36140350877193,-0.167060411744853,0.350710900473934,0.205714285714286,0.0931562442353808,0.138148225908041
"53","2014-42","2014-10-13",216,5046,2014-10-13,2014-10-19,Oct 2014,98.3894285714286,0,-0.00166826864328984,0.186813186813187,0.0222852512155591,-0.36140350877193,0.350710900473934,-0.167060411744853,0.0931562442353808
"54","2014-43","2014-10-20",220,5001,2014-10-20,2014-10-26,Oct 2014,98.3517571428571,0,-0.000382880855376411,0.0185185185185186,-0.00891795481569557,0.186813186813187,-0.36140350877193,0.0222852512155591,-0.167060411744853
"55","2014-44","2014-10-27",479,6321,2014-10-27,2014-11-02,Oct 2014,98.3301285714286,1,-0.000219910371272225,1.17727272727273,0.263947210557888,0.0185185185185186,0.186813186813187,-0.00891795481569557,0.0222852512155591
