week,date,WNU
2015-07,2015-02-09,7031
2015-08,2015-02-16,7325
2015-09,2015-02-23,8390
2015-10,2015-03-02,8627
2015-11,2015-03-09,8655
2015-12,2015-03-16,7572
2015-13,2015-03-23,9240
2015-14,2015-03-30,8197
2015-15,2015-04-06,8533
2015-16,2015-04-13,8089
2015-17,2015-04-20,10557
2015-18,2015-04-27,10525
2015-19,2015-05-04,9909
2015-20,2015-05-11,9754
2015-21,2015-05-18,8066
2015-22,2015-05-25,9433
2015-23,2015-06-01,9166
2015-24,2015-06-08,8747
2015-25,2015-06-15,9333
2015-26,2015-06-22,8892
2015-27,2015-06-29,9798
2015-28,2015-07-06,8437
2015-29,2015-07-13,9340
2015-30,2015-07-20,9662
2015-31,2015-07-27,10844
2015-32,2015-08-03,10096
2015-33,2015-08-10,12835
2015-34,2015-08-17,7730
2015-35,2015-08-24,3
